Time,vehicle_local_positionax,vehicle_local_positionay,vehicle_local_positionaz,timestamp_ms,vehicle_local_positiontimestamp_sample,vehicle_local_positionvx,vehicle_local_positionvy,vehicle_local_positionvz,vehicle_local_positionx,vehicle_local_positiony,vehicle_local_positionz,vehicle_local_position_setpointacceleration00,vehicle_local_position_setpointacceleration01,vehicle_local_position_setpointacceleration02,vehicle_local_position_setpointvx,vehicle_local_position_setpointvy,vehicle_local_position_setpointvz,vehicle_local_position_setpointx,vehicle_local_position_setpointy,vehicle_local_position_setpointz
4.7 sec,0.0767897692307692,0.931409230769231,0.00637584615384616,314728,314728000,-0.0637249230769231,4.50435761538461,0.0946626923076923,13.8516073076923,5.31285761538462,-5.06301292307692,0.0685606923076923,2.32025607692308,-0.0492958461538462,-0.0323287692307692,5.16290569230769,0.0766386153846154,13.8734007692308,5.59328615384615,-5.01311461538462
4.8 sec,0.0910093333333333,0.658097041666667,-0.0104177083333333,314828,314828000,-0.0565485416666667,4.57984020833333,0.0952179166666667,13.8445175416667,5.76742745833333,-5.054760375,0.0668677916666667,2.01401229166667,-0.0853214583333333,-0.0267688333333333,5.22114966666667,0.0693647083333333,13.868732,6.04035504166667,-5.0107485
4.9 sec,0.0777056153846154,0.305937923076923,-0.0160819230769231,314928,314928000,-0.0488823076923077,4.62296230769231,0.0936442307692308,13.838489,6.228366,-5.04619753846154,0.0639410769230769,1.70356769230769,-0.116118076923077,-0.0217491538461538,5.24642684615385,0.0615777692307692,13.864352,6.49503438461538,-5.00850330769231
5 sec,0.058281,0.0173883333333333,-0.0156574166666667,315028,315028000,-0.044119,4.640736625,0.0900387916666667,13.8307465833333,6.694774625,-5.03900716666667,0.0433010833333333,1.36389008333333,-0.12060075,-0.015740625,5.23661966666667,0.0551753333333333,13.8602542083333,6.951927,-5.0063835
5.1 sec,0.0545871538461538,-0.302293846153846,-0.000563153846153845,315128,315128000,-0.0403616923076923,4.62680638461538,0.0873001538461538,13.8223362307692,7.16275476923077,-5.03248646153846,0.0426101538461539,1.02307338461538,-0.133045846153846,-0.0109492307692308,5.19160223076923,0.0504016153846154,13.8562559230769,7.41041430769231,-5.00432215384615
5.2 sec,0.0615049166666667,-0.598957458333333,0.006311,315228,315228000,-0.0364152916666667,4.58249741666667,0.084959,13.8149947916667,7.627291125,-5.02570604166667,0.0451835,0.677226208333333,-0.151323708333333,-0.00741270833333333,5.11358641666667,0.0455157083333333,13.8522833333333,7.86515975,-5.00227495833333
5.3 sec,0.0744054615384615,-0.912585615384615,-0.044789,315328,315328000,-0.0331753076923077,4.50698123076923,0.0803816923076923,13.8089319230769,8.08476953846154,-5.01882846153846,0.0473733076923077,0.318422923076923,-0.161672153846154,-0.00489538461538461,5.00065561538462,0.0404291538461539,13.84833,8.31420638461539,-5.000236
5.4 sec,0.0671402916666667,-1.22611379166667,-0.0718132916666667,315428,315428000,-0.0299771666666667,4.40498691666667,0.0748270833333333,13.803445625,8.539510625,-5.012549125,0.0486490833333333,-0.0726872916666667,-0.165987541666667,-0.00274475,4.84760320833333,0.035843375,13.8444172083333,8.75352266666667,-4.9982175
5.5 sec,0.0224137692307692,-1.47703053846154,-0.0437617692307692,315528,315528000,-0.0270964615384615,4.27309823076923,0.0691669230769231,13.7986069230769,8.98477846153846,-5.00649407692308,0.0499085384615385,-0.152046153846154,-0.169006307692308,-0.00102676923076923,4.66800492307692,0.0313874615384615,13.8405400769231,9.18200484615385,-4.99621576923077
5.6 sec,0.0288074583333333,-1.67326458333333,-0.00493258333333334,315628,315628000,-0.0230790416666667,4.11730970833333,0.0664578333333333,13.79461375,9.41413045833333,-5.00019958333333,0.0453034583333333,-0.0987772083333333,-0.1848985,6.67916666666666e-05,4.489195,0.0265975416666667,13.836725375,9.59729825,-4.9942445
5.7 sec,0.0534563846153846,-1.71745384615385,-0.0158787692307692,315728,315728000,-0.0191703076923077,3.950412,0.0656796923076923,13.7915007692308,9.82412053846154,-4.99358269230769,0.0393293076923077,-0.0357254615384615,-0.210673307692308,0.000510461538461539,4.31846653846154,0.0213851538461538,13.8329844615385,9.99877815384616,-4.99231046153846
5.8 sec,0.0396175416666667,-1.57018075,-0.07102975,315828,315828000,-0.0154436666666667,3.79320495833333,0.0593772083333333,13.7892262916667,10.2241907916667,-4.98842779166667,0.033833875,-0.0321787083333333,-0.209336458333333,0.000332291666666667,4.14724595833333,0.0175436666666667,13.8293357916667,10.38628475,-4.99042379166667
5.9 sec,0.0374716923076923,-1.428147,-0.0868652307692308,315928,315928000,-0.0119127692307692,3.65101407692308,0.0502081538461538,13.7876955384615,10.6109690769231,-4.98468915384615,0.0285085384615385,-0.0539063846153846,-0.190244230769231,-0.000384230769230769,3.97897623076923,0.015027,13.8257786923077,10.7608044615385,-4.98858361538462
6 sec,0.026969375,-1.36065970833333,-0.0665326666666667,316028,316028000,-0.00907545833333333,3.51534733333333,0.0416971666666667,13.7865612083333,10.9814420416667,-4.98151495833333,0.024699875,-0.0640157083333333,-0.170537291666667,-0.00131920833333333,3.81676883333333,0.0129890416666667,13.8223275833333,11.1219977916667,-4.98679816666667
6.1 sec,-0.0137826923076923,-1.31814392307692,-0.0443894615384615,316128,316128000,-0.00732746153846154,3.38324630769231,0.0374606923076923,13.7856986923077,11.3345906153846,-4.97849638461538,0.0242322307692308,-0.0636306923076923,-0.166555,-0.00235246153846154,3.66106223076923,0.0110203076923077,13.8189914615385,11.4694245384615,-4.98507246153846
6.2 sec,0.00874941666666667,-1.29338504166667,0.00558429166666667,316228,316228000,-0.00665145833333333,3.25634975,0.0342454583333333,13.7855069583333,11.679215875,-4.97736570833333,0.0214499166666667,-0.0810315,-0.158798208333333,-0.003879375,3.50424620833333,0.010862875,13.8157750833333,11.80359225,-4.983407
6.3 sec,0.00785669230769231,-1.27838630769231,0.0108500769230769,316328,316328000,-0.00463461538461538,3.13337253846154,0.0317763076923077,13.7858118461538,12.0120505384615,-4.97717953846154,0.0112758461538462,-0.0968309230769231,-0.149905692307692,-0.00573807692307692,3.34955061538462,0.0115744615384615,13.8126756923077,12.1251925384615,-4.98180084615385
6.4 sec,0.0352283076923077,-1.23530403846154,-0.0101054615384615,316428,316428000,-0.00248430769230769,3.01236315384615,0.0312221538461538,13.7863173461538,12.329811,-4.97656846153846,0.00321569230769231,-0.122482807692308,-0.150831461538462,-0.00757980769230769,3.19185730769231,0.0117454615384615,13.8098689230769,12.4165067307692,-4.98034596153846
6.5 sec,0.00735775,-1.18949425,0.000595,316528,316528000,-0.00072325,2.89310375,0.030692,13.786929,12.63298275,-4.9752585,-0.00160475,-0.11298375,-0.154658,-0.00953225,3.053853,0.01122675,13.806902,12.72487275,-4.978808
6.6 sec,0.0106058333333333,-1.196397,-0.0089255,316628,316628000,-3.52916666666667e-05,2.778855625,0.029112375,13.7886392083333,12.9274098333333,-4.97539275,-0.00753670833333333,-0.126469458333333,-0.148740458333333,-0.0123753333333333,2.91293895833333,0.01206775,13.8041189583333,13.01495675,-4.977365375
6.7 sec,-0.0209819230769231,-1.15666623076923,0.0204508461538462,316728,316728000,0.000342,2.66899153846154,0.0281145384615385,13.7908843846154,13.2112224615385,-4.97630784615385,-0.0135132307692308,-0.146230692307692,-0.141664769230769,-0.0155723846153846,2.77118461538462,0.0136063076923077,13.8015184615385,13.2874083846154,-4.97601676923077
6.8 sec,-0.00844245833333333,-1.111766,0.0138837083333333,316828,316828000,-0.000406375,2.56097454166667,0.0294800416666667,13.7927285833333,13.4819375833333,-4.976317375,-0.0158370833333333,-0.159413916666667,-0.147800541666667,-0.0182647916666667,2.63450666666667,0.0141716666666667,13.7990435416667,13.548505625,-4.97473333333333
6.9 sec,-0.0276733076923077,-1.072846,0.0231590769230769,316928,316928000,-0.00153392307692308,2.45340484615385,0.0298436153846154,13.7940243846154,13.7386595384615,-4.97536569230769,-0.0173,-0.160001384615385,-0.154232769230769,-0.0203015384615385,2.50335615384615,0.0137030769230769,13.7967034615385,13.7977873076923,-4.97351846153846
7 sec,2.08333333331229e-07,-1.06048270833333,0.0147349583333333,317028,317028000,-0.00236808333333333,2.34864741666667,0.0292069583333333,13.7956346666667,13.9854643333333,-4.97550729166667,-0.0226717083333333,-0.167146541666667,-0.152652333333333,-0.022509,2.37463108333333,0.014258125,13.7944965833333,14.0357655,-4.972372625
7.1 sec,-0.0276057692307692,-0.992265,-0.0132974615384615,317128,317128000,-0.00373369230769231,2.24794661538462,0.0285999230769231,13.7972976153846,14.2210598461538,-4.97610653846154,-0.0221228461538462,-0.180466076923077,-0.149374384615385,-0.0246282307692308,2.24920169230769,0.0151973076923077,13.792432,14.2619556923077,-4.97129930769231
